# This file is called   force.dat
# Force-Deflection data for a beam and a bar
# PayWord	contractGasUsed	openGasUsed	claimGasUsed
1	317299	126129	18204
2	317299	126129	18271
3	317299	126129	18307
4	317299	126129	18406
5	317299	126129	18474
6	317299	126129	18541
7	317299	126129	18609
8	317299	126129	18676
9	317299	126129	18744
10	317299	126129	18811
11	317299	126129	18879
12	317299	126129	18946
13	317299	126129	19014
14	317299	126129	19081
15	317299	126129	19149
16	317299	126129	19184
17	317299	126129	19252
18	317299	126129	19351
19	317299	126129	19419
20	317299	126129	19486
21	317299	126129	19522
22	317299	126129	19621
23	317299	126129	19689
24	317299	126129	19756
25	317299	126129	19824
26	317299	126129	19859
27	317299	126129	19959
28	317299	126129	20026
29	317299	126129	20094
30	317299	126129	20129
31	317299	126129	20229
32	317299	126129	20296
33	317299	126129	20364
34	317299	126129	20431
35	317299	126129	20499
36	317299	126129	20566
37	317299	126129	20634
38	317299	126129	20701
39	317299	126129	20769
40	317299	126129	20836
41	317299	126129	20904
42	317299	126129	20971
43	317299	126129	21039
44	317299	126129	21106
45	317299	126129	21174
46	317299	126129	21241
47	317299	126129	21309
48	317299	126129	21376
49	317299	126129	21444
50	317299	126129	21511
51	317299	126129	21579
52	317299	126129	21646
53	317299	126129	21714
54	317299	126129	21781
55	317299	126129	21849
56	317299	126129	21916
57	317299	126129	21984
58	317299	126129	22051
59	317299	126129	22119
60	317299	126129	22186
61	317299	126129	22254
62	317299	126129	22289
63	317299	126129	22357
64	317299	126129	22392
65	317299	126129	22524
66	317299	126129	22591
67	317299	126129	22659
68	317299	126129	22694
69	317299	126129	22794
70	317299	126129	22861
71	317299	126129	22929
72	317299	126129	22996
73	317299	126129	23032
74	317299	126129	23131
75	317299	126129	23199
76	317299	126129	23234
77	317299	126129	23334
78	317299	126129	23401
79	317299	126129	23437
80	317299	126129	23536
81	317299	126129	23604
82	317299	126129	23671
83	317299	126129	23739
84	317299	126129	23806
85	317299	126129	23810
86	317299	126129	23941
87	317299	126129	24017
88	317299	126129	24152
89	317299	126129	24287
90	317299	126129	24422
91	317299	126129	24557
92	317299	126129	24692
93	317299	126129	24827
94	317299	126129	24962
95	317299	126129	25097
96	317299	126129	25232
97	317299	126129	25367
98	317299	126129	25502
99	317299	126129	25637
100	317299	126129	25772


